
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		1,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		1,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		1,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		1,		-1	// Sellvalue -1 means it can not be selled
		MSFC_Winchester70_WHITE,	W,		3000,		1500
		MSFC_Winchester70_ATACS_AU,	W,		3000,		1500
		MSFC_Winchester70_ATACS_FG,	W,		3000,		1500
		MSFC_Winchester70_BLUE,	W,		3000,		1500
		MSFC_Winchester70_EMR,	W,		3000,		1500
		MSFC_Winchester70_Flecktarn,	W,		3000,		1500
		MSFC_Winchester70_HEX,	W,		3000,		1500
		MSFC_Winchester70_MARPAT_WD,	W,		3000,		1500
		MSFC_Winchester70_MULTICAM,	W,		3000,		1500
		MSFC_Winchester70_MULTICAM_BLACK,	W,		3000,		1500
		MSFC_Winchester70_MULTICAM_TROPIC,	W,		3000,		1500
		MSFC_Winchester70_SNAKE,	W,		3000,		1500
		MSFC_Winchester70_SNAKE_GREEN,	W,		3000,		1500
		MSFC_Winchester70_SURPAT,	W,		3000,		1500
		MSFC_Winchester70_VIPER_WESTERN,	W,		3000,		1500
		MSFC_Winchester70_Woodland,	W,		3000,		1500
		MSFC_Winchester70_SURPAT_TAN,	W,		3000,		1500
		MSFC_Winchester70_ORANGE,	W,		3000,		1500
		MSFC_Winchester70_RED,	W,		3000,		1500
		MSFC_Winchester70_DARK,	W,		3000,		1500
		MSFC_Winchester70_MATRIX,	W,		3000,		1500
		MSFC_Winchester70_REDBLACKWHITE,	W,		3000,		1500
		MSFC_Winchester70_Honeycomb,	W,		3000,		1500
		MSFC_Winchester70_STAR,	W,		3000,		1500
		//MSFC_SCOUT_WHITE,	W,		3000,		1500
		//MSFC_SCOUT_ATACS_AU,	W,		3000,		1500
		//MSFC_SCOUT_ATACS_FG,	W,		3000,		1500
		//MSFC_SCOUT_BLUE,	W,		3000,		1500
		//MSFC_SCOUT_EMR,	W,		3000,		1500
		//MSFC_SCOUT_Flecktarn,	W,		3000,		1500
		//MSFC_SCOUT_HEX,	W,		3000,		1500
		//MSFC_SCOUT_MARPAT_WD,	W,		3000,		1500
		//MSFC_SCOUT_MULTICAM,	W,		3000,		1500
		//MSFC_SCOUT_MULTICAM_BLACK,	W,		3000,		1500
		//MSFC_SCOUT_MULTICAM_TROPIC,	W,		3000,		1500
		//MSFC_SCOUT_SNAKE,	W,		3000,		1500
		//MSFC_SCOUT_SNAKE_GREEN,	W,		3000,		1500
		//MSFC_SCOUT_SURPAT,	W,		3000,		1500
		//MSFC_SCOUT_VIPER_WESTERN,	W,		3000,		1500
		//MSFC_SCOUT_Woodland,	W,		3000,		1500
		//MSFC_SCOUT_SURPAT_TAN,	W,		3000,		1500
		//MSFC_SCOUT_ORANGE,	W,		3000,		1500
		//MSFC_SCOUT_RED,	W,		3000,		1500
		//MSFC_SCOUT_DARK,	W,		3000,		1500
		//MSFC_SCOUT_MATRIX,	W,		3000,		1500
		//MSFC_SCOUT_REDBLACKWHITE,	W,		3000,		1500
		//MSFC_SCOUT_Honeycomb,	W,		3000,		1500
		//MSFC_SCOUT_STAR,	W,		3000,		1500
		
	<Category> Shotguns
		Mp133Shotgun,			W,		500,	250
		Izh43Shotgun,			W,		900,	400
		Saiga,					W,		1500,	600
		Expansion_DT11,			W,		500,	250
		Expansion_BenelliM4,	W,		1500,	600
		SmashT_TOZ106, W, 1500, 750
		SmashT_VR80, W, 1500, 750
		SmashT_DT11, W, 1500, 750
		SmashT_BenelliM2, W, 1500, 750
		SmashT_M1897, W, 1500, 750
		MSFC_Mossberg590,	W,		4000,		2000

		
	<Category> Submachine Guns
		CZ61,					W,		700,	300
		UMP45,					W,		800,	350
		MP5K,					W,		1000,	450	
		AKS74U,					W,		1100,	600
		Expansion_MP5,			W,		800,	350
		Expansion_MP7,			W,		800,	350
		Expansion_Kedr,			W,		800,	350
		Expansion_VityazSN,		W,		800,	350
		MSFC_PP19_Vityaz,		W,		400,	200
		MSFC_AKS74U_WHITE,	W,		3000,		1500
		MSFC_AKS74U_ATACS_AU,	W,		3000,		1500
		MSFC_AKS74U_ATACS_FG,	W,		3000,		1500
		MSFC_AKS74U_BLUE,	W,		3000,		1500
		MSFC_AKS74U_EMR,	W,		3000,		1500
		MSFC_AKS74U_Flecktarn,	W,		3000,		1500
		MSFC_AKS74U_HEX,	W,		3000,		1500
		MSFC_AKS74U_MARPAT_WD,	W,		3000,		1500
		MSFC_AKS74U_MULTICAM,	W,		3000,		1500
		MSFC_AKS74U_MULTICAM_BLACK,	W,		3000,		1500
		MSFC_AKS74U_MULTICAM_TROPIC,	W,		3000,		1500
		MSFC_AKS74U_SNAKE,	W,		3000,		1500
		MSFC_AKS74U_SNAKE_GREEN,	W,		3000,		1500
		MSFC_AKS74U_SURPAT,	W,		3000,		1500
		MSFC_AKS74U_VIPER_WESTERN,	W,		3000,		1500
		MSFC_AKS74U_Woodland,	W,		3000,		1500
		MSFC_AKS74U_SURPAT_TAN,	W,		3000,		1500
		MSFC_AKS74U_ORANGE,	W,		3000,		1500
		MSFC_AKS74U_RED,	W,		3000,		1500
		MSFC_AKS74U_DARK,	W,		3000,		1500
		MSFC_AKS74U_MATRIX,	W,		3000,		1500
		MSFC_AKS74U_REDBLACKWHITE,	W,		3000,		1500
		MSFC_AKS74U_Honeycomb,	W,		3000,		1500
		MSFC_AKS74U_STAR,	W,		3000,		1500
		MSFC_MP5K_WHITE,	W,		3000,		1500
		MSFC_MP5K_ATACS_AU,	W,		3000,		1500
		MSFC_MP5K_ATACS_FG,	W,		3000,		1500
		MSFC_MP5K_BLUE,	W,		3000,		1500
		MSFC_MP5K_EMR,	W,		3000,		1500
		MSFC_MP5K_Flecktarn,	W,		3000,		1500
		MSFC_MP5K_HEX,	W,		3000,		1500
		MSFC_MP5K_MARPAT_WD,	W,		3000,		1500
		MSFC_MP5K_MULTICAM,		W,		3000,		1500
		MSFC_MP5K_MULTICAM_BLACK,	W,		3000,		1500
		MSFC_MP5K_MULTICAM_TROPIC,	W,		3000,		1500
		MSFC_MP5K_SNAKE,	W,		3000,		1500
		MSFC_MP5K_SNAKE_GREEN,	W,		3000,		1500
		MSFC_MP5K_SURPAT,	W,		3000,		1500
		MSFC_MP5K_VIPER_WESTERN,	W,		3000,		1500
		MSFC_MP5K_Woodland,	W,		3000,		1500
		MSFC_MP5K_SURPAT_TAN,	W,		3000,		1500
		MSFC_MP5K_ORANGE,	W,		3000,		1500
		MSFC_MP5K_RED,	W,		3000,		1500
		MSFC_MP5K_DARK,	W,		3000,		1500
		MSFC_MP5K_MATRIX,	W,		3000,		1500
		MSFC_MP5K_REDBLACKWHITE,	W,		3000,		1500
		MSFC_MP5K_Honeycomb,	W,		3000,		1500
		MSFC_MP5K_STAR,	W,		3000,		1500
		MSFC_UMP_WHITE,	W,		3000,		1500
		MSFC_UMP_ATACS_AU,	W,		3000,		1500
		MSFC_UMP_ATACS_FG,	W,		3000,		1500
		MSFC_UMP_BLUE,	W,		3000,		1500
		MSFC_UMP_EMR,	W,		3000,		1500
		MSFC_UMP_Flecktarn,	W,		3000,		1500
		MSFC_UMP_HEX,	W,		3000,		1500
		MSFC_UMP_MARPAT_WD,	W,		3000,		1500
		MSFC_UMP_MULTICAM,	W,		3000,		1500
		MSFC_UMP_MULTICAM_BLACK,	W,		3000,		1500
		MSFC_UMP_MULTICAM_TROPIC,	W,		3000,		1500
		MSFC_UMP_SNAKE,	W,		3000,		1500
		MSFC_UMP_SNAKE_GREEN,	W,		3000,		1500
		MSFC_UMP_SURPAT,	W,		3000,		1500
		MSFC_UMP_VIPER_WESTERN,	W,		3000,		1500
		MSFC_UMP_Woodland,	W,		3000,		1500
		MSFC_UMP_SURPAT_TAN,	W,		3000,		1500
		MSFC_UMP_WHITE,	W,		3000,		1500
		MSFC_UMP_ATACS_AU,	W,		3000,		1500
		MSFC_UMP_ATACS_FG,	W,		3000,		1500
		MSFC_UMP_BLUE,	W,		3000,		1500
		MSFC_UMP_EMR,	W,		3000,		1500
		MSFC_UMP_Flecktarn,	W,		3000,		1500
		MSFC_UMP_HEX,	W,		3000,		1500
		MSFC_UMP_MARPAT_WD,	W,		3000,		1500
		MSFC_UMP_SNAKE,	W,		3000,		1500
		MSFC_UMP_SNAKE_GREEN,	W,		3000,		1500
		MSFC_UMP_SURPAT,	W,		3000,		1500
		MSFC_UMP_VIPER_WESTERN,	W,		3000,		1500
		MSFC_UMP_Woodland,	W,		3000,		1500
		MSFC_UMP_SURPAT_TAN,	W,		3000,		1500
		MSFC_UMP_ORANGE,	W,		3000,		1500
		MSFC_UMP_RED,	W,		3000,		1500
		MSFC_UMP_DARK,	W,		3000,		1500
		MSFC_UMP_MATRIX,	W,		3000,		1500
		MSFC_UMP_REDBLACKWHITE,	W,		3000,		1500
		MSFC_UMP_Honeycomb,	W,		3000,		1500
		MSFC_UMP_STAR,	W,		3000,		1500
		MSFC_UMP_Kryptek_Banshee,	W,		3000,		1500		
        MSFC_UMP_Kryptek_Neptune,	W,		3000,		1500
		MSFC_UMP_Kryptek_Typhon,	W,		3000,		1500
        MSFC_UMP_Kryptek_Mandrake,	W,		3000,		1500
        MSFC_UMP_Kryptek_Wraith,	W,		3000,		1500
        MSFC_UMP_Kryptek_Raid,	W,		3000,		1500
		
	<Category> Assault Rifles
		FAL,					W,		1000,	450
		AKM,					W,		1500,	750
		AK101,					W,		1500,	750
		AK74,					W,		1600,	750
		M4A1,					W,		1500,	750
		Expansion_G36,			W,		1500,	750
		Expansion_M16,			W,		1500,	750
		SmashT_AUGA3, W, 1500, 750
		SmashT_SG552, W, 1500, 750
		SmashT_AN94, W, 1500, 750
		SmashT_G36C, W, 1500, 750
		MSFC_MSBS,	W,		4000,		2000
		MSFC_AS_VAL,	W,		4000,		2000
		MSFC_HK416,	W,		4000,		2000
		MSFC_SCAR17,	W,		4000,		2000
		MSFC_AK15M,	W,		4000,		2000
		MSFC_AK12M,	W,		4000,		2000
		MSFC_AK13M,	W,		4000,		2000
		MSFC_AK_ALFA,	W,		4000,		2000
		MSFC_AK15,	W,		4000,		2000
		MSFC_AK103,	W,		4000,		2000
		MSFC_AKM_Tan,	W,		3000,		1500
		MSFC_AKM_Green,	W,		3000,		1500
		MSFC_AKM_SURPAT_Tan,	W,		3000,		1500
		MSFC_AKM_Black,	W,		3000,		1500
		MSFC_AKM_White,	W,		3000,		1500
		MSFC_AKM_Gray,	W,		3000,		1500
		MSFC_AKM_Golden,	W,		3000,		1500
		MSFC_AKM_ATACS_FG,	W,		3000,		1500
		MSFC_AKM_HELL,	W,		3000,		1500
		MSFC_M4A1_White,	W,		3000,		1500
		MSFC_M4A1_ATACS_FG,	W,		3000,		1500
		MSFC_M4A1_SURPAT_TAN,	W,		3000,		1500
		MSFC_AKM_BLUE,	W,		3000,		1500
		MSFC_AKM_EMR,	W,		3000,		1500
		MSFC_AKM_Flecktarn,	W,		3000,		1500
		MSFC_AKM_HEX,	W,		3000,		1500
		MSFC_AKM_MARPAT_WD,	W,		3000,		1500
		MSFC_AKM_Multicam,	W,		3000,		1500
		MSFC_AKM_MulticamBlack,	W,		3000,		1500
		MSFC_AKM_MulticamTropic,	W,		3000,		1500
		MSFC_AKM_SNAKE,	W,		3000,		1500
		MSFC_AKM_SNAKE_GREEN,	W,		3000,		1500
		MSFC_AKM_SURPAT,	W,		3000,		1500
		MSFC_AKM_ViperWestern,	W,		3000,		1500
		MSFC_AKM_WOODLAND,	W,		3000,		1500
		MSFC_AKM_ORANGE,	W,		3000,		1500
		MSFC_AKM_RED,	W,		3000,		1500
		MSFC_AKM_DARK,	W,		3000,		1500
		MSFC_AKM_MATRIX,	W,		3000,		1500
		MSFC_AKM_REDBLACKWHITE,	W,		3000,		1500
		MSFC_AKM_Honeycomb,	W,		3000,		1500
		MSFC_AKM_STAR,	W,		3000,		1500
		MSFC_AKM_Kryptek_Banshee,	W,		3000,		1500
		MSFC_AKM_ATACS_AU,	W,		3000,		1500
        MSFC_AK74_WHITE,	W,		3000,		1500
        MSFC_AK74_ATACS_AU,	W,		3000,		1500
        MSFC_AK74_ATACS_FG,	W,		3000,		1500
        MSFC_AK74_BLUE,	W,		3000,		1500
        MSFC_AK74_EMR,	W,		3000,		1500
        MSFC_AK74_Flecktarn,	W,		3000,		1500
        MSFC_AK74_HEX,	W,		3000,		1500
        MSFC_AK74_MARPAT_WD,	W,		3000,		1500
        MSFC_AK74_MULTICAM,	W,		3000,		1500
        MSFC_AK74_MULTICAM_BLACK,	W,		3000,		1500
        MSFC_AK74_MULTICAM_TROPIC,	W,		3000,		1500
        MSFC_AK74_SNAKE,	W,		3000,		1500
        MSFC_AK74_SNAKE_GREEN,	W,		3000,		1500
        MSFC_AK74_SURPAT,	W,		3000,		1500
        MSFC_AK74_VIPER_WESTERN,	W,		3000,		1500
        MSFC_AK74_Woodland,	W,		3000,		1500
        MSFC_AK74_SURPAT_TAN,	W,		3000,		1500
        MSFC_AK74_ORANGE,	W,		3000,		1500
        MSFC_AK74_RED,	W,		3000,		1500
        MSFC_AK74_DARK,	W,		3000,		1500
        MSFC_AK74_MATRIX,	W,		3000,		1500
        MSFC_AK74_REDBLACKWHITE,	W,		3000,		1500
        MSFC_AK74_Honeycomb,	W,		3000,		1500
        MSFC_AK74_STAR,	W,		3000,		1500
        MSFC_AK101_WHITE,	W,		3000,		1500
        MSFC_AK101_ATACS_AU,	W,		3000,		1500
        MSFC_AK101_ATACS_FG,	W,		3000,		1500
        MSFC_AK101_BLUE,	W,		3000,		1500
        MSFC_AK101_EMR,	W,		3000,		1500
        MSFC_AK101_Flecktarn,	W,		3000,		1500
        MSFC_AK101_HEX,	W,		3000,		1500
        MSFC_AK101_MARPAT_WD,	W,		3000,		1500
        MSFC_AK101_MULTICAM,	W,		3000,		1500
        MSFC_AK101_MULTICAM_BLACK,	W,		3000,		1500
        MSFC_AK101_MULTICAM_TROPIC,	W,		3000,		1500
        MSFC_AK101_SNAKE,	W,		3000,		1500
        MSFC_AK101_SNAKE_GREEN,	W,		3000,		1500
        MSFC_AK101_SURPAT,	W,		3000,		1500
        MSFC_AK101_VIPER_WESTERN,	W,		3000,		1500
        MSFC_AK101_Woodland,	W,		3000,		1500
        MSFC_AK101_SURPAT_TAN,	W,		3000,		1500
        MSFC_AK101_ORANGE,	W,		3000,		1500
        MSFC_AK101_RED,	W,		3000,		1500
        MSFC_AK101_DARK,	W,		3000,		1500
        MSFC_AK101_MATRIX,	W,		3000,		1500
        MSFC_AK101_REDBLACKWHITE,	W,		3000,		1500
        MSFC_AK101_Honeycomb,	W,		3000,		1500
        MSFC_AK101_STAR,	W,		3000,		1500
		MSFC_AKM_Kryptek_Raid,	W,		3000,		1500
        MSFC_AKM_Kryptek_Wraith,	W,		3000,		1500
        MSFC_AKM_Kryptek_Mandrake,	W,		3000,		1500
        MSFC_AKM_Kryptek_Typhon,	W,		3000,		1500
        MSFC_AKM_Kryptek_Neptune,	W,		3000,		1500
		MSFC_AKCR2019,	W,		4000,		2000	
		MSFC_VPO136,	W,		4000,		2000
		MSFC_M4A1_BLUE,	W,		3000,		1500
		MSFC_M4A1_EMR,	W,		3000,		1500
		MSFC_M4A1_Flecktarn,	W,		3000,		1500
		MSFC_M4A1_HEX,	W,		3000,		1500
		MSFC_M4A1_MARPAT_WD,	W,		3000,		1500
		MSFC_M4A1_Multicam,	W,		3000,		1500
		MSFC_M4A1_MulticamBlack,	W,		3000,		1500
		MSFC_M4A1_MulticamTropic,	W,		3000,		1500
		MSFC_M4A1_SNAKE,	W,		3000,		1500
		MSFC_M4A1_SNAKE_GREEN,	W,		3000,		1500
		MSFC_M4A1_SURPAT,	W,		3000,		1500
		MSFC_M4A1_ViperWestern,	W,		3000,		1500
		MSFC_M4A1_WOODLAND,	W,		3000,		1500
		MSFC_M4A1_ATACS_AU,	W,		3000,		1500
		MSFC_M4A1_ORANGE,	W,		3000,		1500
		MSFC_M4A1_RED,	W,		3000,		1500
		MSFC_M4A1_DARK,	W,		3000,		1500
		MSFC_M4A1_MATRIX,	W,		3000,		1500
		MSFC_M4A1_REDBLACKWHITE,	W,		3000,		1500
		MSFC_M4A1_Honeycomb,	W,		3000,		1500
		MSFC_M4A1_STAR,	W,		3000,		1500
		MSFC_M4A1_Kryptek_Banshee,	W,		3000,		1500
        MSFC_M4A1_Kryptek_Raid,	W,		3000,		1500
		MSFC_TacAR15,	W,		4000,		2000
		MSFC_AR15,	W,		4000,		2000
		MSFC_M16A4,	W,		4000,		2000
		MSFC_TacAR15_SBR,	W,		4000,		2000
		MSFC_AR15_9mm_Desert,	W,		4000,		2000
		MSFC_AR15_9mm_Black,	W,		4000,		2000
		MSFC_AR15_9mm_Green,	W,		4000,		2000
		MSFC_M4A1_Kryptek_Neptune,	W,		3000,		1500
		MSFC_M4A1_Kryptek_Typhon,	W,		3000,		1500
		MSFC_M4A1_Kryptek_Mandrake,	W,		3000,		1500
		MSFC_M4A1_Kryptek_Wraith,	W,		3000,		1500
	
	<Category> Misc Guns
		Expansion_Crossbow,		W,		500, 	300
		ExpansionRPG7,			W,		1000,	700
		ExpansionLAW,			W,		500,	200
		Expansion_M79,			W,		500,	200
		ExpansionFlaregun,		W,		500,	200
		
	<Category> Light Machine Guns
		MSFC_RPK74,	W,		4000,		2000	
		MSFC_RPK,	W,		4000,		2000
		
	<Category> Sniper Rifles
		VSS,					W,		1600,	960
		SVD,					W,		2000,	1200
		Expansion_Kar98,		W,		1600,	900
		Expansion_AWM,			W,		2000,	1200
		SmashT_LeeEnfield, W, 1500, 750
		SmashT_M200, W, 1500, 750
		SmashT_RugerPR, W, 1500, 750
		SmashT_AWM, W, 1500, 750
		SmashT_DVL10, W, 1500, 750
		SmashT_L129A1, W, 1500, 750
		MSFC_OSV96,	W,		4000,		2000
		MSFC_L96A1_Green,	W,		4000,		2000
		MSFC_ORSIS_T5000,	W,		4000,		2000
		MSFC_ORSIS_T5000_Green,	W,		4000,		2000
		MSFC_ORSIS_T5000_Desert,	W,		4000,		2000
		MSFC_Tigr308,	W,		4000,		2000
		MSFC_SaigaMK223Rem,	W,		4000,		2000
		MSFC_Barret50BMG_Beige,	W,		4000,		2000
		MSFC_Barret50BMG_Green,	W,		4000,		2000
		MSFC_Barret50BMG_Desert,	W,		4000,		2000
		MSFC_Barret50BMG_Black,	W,		4000,		2000
		MSFC_SVD_WHITE,	W,		3000,		1500
		MSFC_SVD_ATACS_AU,	W,		3000,		1500
		MSFC_SVD_ATACS_FG,	W,		3000,		1500
		MSFC_SVD_BLUE,	W,		3000,		1500
		MSFC_SVD_EMR,	W,		3000,		1500
		MSFC_SVD_Flecktarn,	W,		3000,		1500
		MSFC_SVD_HEX,	W,		3000,		1500
		MSFC_SVD_MARPAT_WD,	W,		3000,		1500
		MSFC_SVD_MULTICAM,	W,		3000,		1500
		MSFC_SVD_MULTICAM_BLACK,	W,		3000,		1500
		MSFC_SVD_MULTICAM_TROPIC,	W,		3000,		1500
		MSFC_SVD_SNAKE,	W,		3000,		1500
		MSFC_SVD_SNAKE_GREEN,	W,		3000,		1500
		MSFC_SVD_SURPAT,	W,		3000,		1500
		MSFC_SVD_VIPER_WESTERN,	W,		3000,		1500
		MSFC_SVD_Woodland,	W,		3000,		1500
		MSFC_SVD_SURPAT_TAN,	W,		3000,		1500
		MSFC_SVD_ORANGE,	W,		3000,		1500
		MSFC_SVD_RED,	W,		3000,		1500
		MSFC_SVD_DARK,	W,		3000,		1500
		MSFC_SVD_MATRIX,	W,		3000,		1500
		MSFC_SVD_REDBLACKWHITE,	W,		3000,		1500
		MSFC_SVD_Honeycomb,	W,		3000,		1500
		MSFC_SVD_STAR,	W,		3000,		1500
		MSFC_SVD_Wooden,	W,		3000,		1500
        MSFC_SVD_Kryptek_Banshee,	W,		3000,		1500
		MSFC_SVD_Kryptek_Neptune,	W,		3000,		1500
		MSFC_SVD_Kryptek_Typhon,	W,		3000,		1500
		MSFC_SVD_Kryptek_Mandrake,	W,		3000,		1500
		MSFC_SVD_Kryptek_Wraith,	W,		3000,		1500
		MSFC_SVD_Kryptek_Raid,	W,		3000,		1500
		
	<Category> Grenades
		RGD5Grenade,			1,		300,	100
		M67Grenade,				1,		300,	100
		M18SmokeGrenade_Red,	1,		300,	100
		M18SmokeGrenade_Green,	1,		300,	100
		M18SmokeGrenade_Yellow,	1,		300,	100
		M18SmokeGrenade_Purple,	1,		300,	100
		M18SmokeGrenade_White,	1,		300,	100
		RDG2SmokeGrenade_Black,	1,		300,	100
		RDG2SmokeGrenade_White,	1,		300,	100
		FlashGrenade,			1,		300,	100
		ExpansionAmmoRPG,		1,		200, 	150
		
		
<Trader> Weapon Supplies
	<Category> Ammunition
		Ammo_380,				1,		1,		-1
		Ammo_9x19,				1,		1,		-1
		Ammo_22,				1,		1,		-1
		Ammo_45ACP,				1,		1,		-1
		Ammo_12gaPellets,		1,		3,		1
		Ammo_12gaSlug,			1,		4,		2
		Ammo_9x39,				1,		4,		2
		Ammo_9x39AP,			1,		5,		3
		Ammo_308Win,			1,		5,		3
		Ammo_545x39,			1,		5,		3
		Ammo_556x45,			1,		5,		3
		Ammo_762x39,			1,		5,		3
		Ammo_762x54,			1,		10,		6		
		Ammo_556x45Tracer,		1,		10,		5
		Ammo_545x39Tracer,		1,		10,		5
		Ammo_308WinTracer,		1,		10,		5
		Ammo_762x39Tracer,		1,		10,		5
		Ammo_762x54Tracer,		1,		20,		12		
		// When changing Prices here keep in Mind that Players
		// can just unpack the Ammoboxes and sell the Ammo seperatly!
		// Originally the Ammoboxes buying Price is 20% less than
		// buying single Ammo. The Selling Price is the same as
		// selling the Ammo seperately.
		AmmoBox_380_35rnd,		*,		28,		-1
		AmmoBox_9x19_25rnd,		*,		20,		-1
		AmmoBox_45ACP_25rnd,	*,		20,		-1
		AmmoBox_22_50Rnd,		*,		60,		20
		AmmoBox_00buck_10rnd,	*,		24,		10
		AmmoBox_12gaSlug_10Rnd,	*,		32,		20
		AmmoBox_9x39_20Rnd,		*,		32,		20
		AmmoBox_9x39AP_20Rnd,	*,		80,		60
		AmmoBox_308Win_20Rnd,	*,		80,		60
		AmmoBox_545x39_20Rnd,	*,		80,		60
		AmmoBox_556x45_20Rnd,	*,		80,		60
		AmmoBox_762x39_20Rnd,	*,		80,		60
		AmmoBox_762x54_20Rnd,	*,		200,	120		
		AmmoBox_308WinTracer_20Rnd,		*,		160,	80
		AmmoBox_545x39Tracer_20Rnd,		*,		160, 	80
		AmmoBox_556x45Tracer_20Rnd,		*,		160,	80
		AmmoBox_762x39Tracer_20Rnd,		*,		160,	80
		AmmoBox_762x54Tracer_20Rnd,		*,		400,	200
		Ammo_Expansion_M203_Smoke_White,	*,		60,		20
		Ammo_Expansion_M203_Smoke_Red,		*,		60,		20
		Ammo_Expansion_M203_Smoke_Green,	*,		60,		20
		Ammo_Expansion_M203_Smoke_Yellow,	*,		60,		20
		Ammo_Expansion_M203_Smoke_Purple,	*,		60,		20
		Ammo_Expansion_M203_Smoke_Teargas,	*,		60,		20
		Ammo_Expansion_M203_Sticky_Smoke_White,	*,		60,		20
		Ammo_Expansion_M203_Sticky_Smoke_Red,	*,		60,		20
		Ammo_Expansion_M203_Sticky_Smoke_Green,	*,		60,		20
		Ammo_Expansion_M203_Sticky_Smoke_Yellow,	*,		60,		20
		Ammo_Expansion_M203_Sticky_Smoke_Purple,	*,		60,		20
		Ammo_Expansion_M203_Sticky_Smoke_Teargas,	*,		60,		20
		Ammo_Expansion_M203_HE,	*,		60,		20
		Ammo_Expansion_46x30,	*,		60,		20
		Ammo_Expansion_338,	*,		60,		20
		Expansion_Ammo_8mm,	*,		60,		20
		Expansion_Ammo_Taser,	*,		60,		20
		Expansion_Ammo_ArrowBolt,	*,		60,		20
		AmmoBox_Expansion_46x30_25rnd,	*,		60,		20
		AmmoBox_Expansion_338_15rnd,	*,		60,		20
		Expansion_AmmoBox_8mm_15rnd,	*,		60,		20
		AE_AmmoBox_408_20rnd, *, 28, 10
		AE_AmmoBox_338_20rnd, *, 28, 10
		Ammo_20GaugeBuckshot, 1, 10, 6
		MSFC_Ammo_127x108,	*,		500,		250
		MSFC_Ammo_50BMG,	*,		100,		40
		ExpansionAmmoRPG,	*,		50,			20

		
	<Category> Magazines
		Mag_IJ70_8Rnd,			M,		30,		15
		Mag_CZ75_15Rnd,			M,		40,		20
		Mag_Glock_15Rnd,		M,		40,		20
		Mag_MKII_10Rnd,			M,		40,		20
		Mag_1911_7Rnd,			M,		40,		20
		Mag_FNX45_15Rnd,		M,		40,		20
		Mag_CZ527_5rnd,			M,		60,		30
		Mag_CZ61_20Rnd,			M,		100,	50
		Mag_UMP_25Rnd,			M,		150,	75
		Mag_MP5_30Rnd,			M,		200,	100
		Mag_FAL_20Rnd,			M,		100,	50
		Mag_Saiga_5Rnd,			M,		100,	50
		Mag_Saiga_8Rnd,			M,		220,	60
		Mag_Saiga_Drum20Rnd,	M,		480,	110
		Mag_AKM_30Rnd,			M,		220,	110
		Mag_AKM_Palm30Rnd,		M,		220,	110
		Mag_AKM_Drum75Rnd,		M,		480,	220
		Mag_AK101_30Rnd,		M,		220,	110
		Mag_AK74_30Rnd,			M,		220,	110
		Mag_STANAG_30Rnd,		M,		220,	110
		Mag_STANAGCoupled_30Rnd,M,		480,	220
		Mag_CMAG_10Rnd,			M,		120,	60
		Mag_CMAG_20Rnd,			M,		180,	80
		Mag_CMAG_30Rnd,			M,		220,	110
		Mag_CMAG_40Rnd,			M,		300,	150
		Mag_VSS_10Rnd,			M,		220,	110
		Mag_SVD_10Rnd,			M,		250,	125
		Mag_308WinSnaploader_2Rnd,		M,		250,	125
		Mag_Expansion_Taser,	M,		250,	125
		Mag_Expansion_M14_20Rnd,	M,		250,	125
		Mag_Expansion_M14_10Rnd,	M,		250,	125
		Mag_Expansion_M9_15Rnd,		M,		250,	125
		Mag_Expansion_MPX_50Rnd,	M,		250,	125
		Mag_Expansion_G36_30Rnd,	M,		250,	125
		Mag_Expansion_Kedr_20Rnd,	M,		250,	125
		Mag_Expansion_MP7_40Rnd,	M,		250,	125
		Mag_Expansion_Vityaz_30Rnd,	M,		250,	125
		Mag_Expansion_AWM_5Rnd,		M,		250,	125
		Mag_VR80_10Rnd, 			M,		250,	125
		SmashT_Mag_L129A1_20Rnd, M, 250, 125
		SmashT_Mag_AWM_5Rnd, M, 250, 125
		SmashT_Mag_DVL10_10rnd, M, 250, 125
		SmashT_Mag_M200_7rnd, M, 250, 125
		SmashT_Mag_TOZ106_4rnd, M, 250, 125
		SmashT_Mag_SG552_30Rnd, M, 250, 125
